object_type,object_id,field,matched_token,full_string,proposed_action
lens,decans,desc,Pass 50,"The 36 decades + the epagomenal Geb-cell as a ring around the tree — the sky surrounds; nothing lands on a sphere or path. Per the Naos of the Decades (T1 monument; von Bomhard’s “war machine / texts of execration,” T2, confirmed via associate T2-L). All 37 cells named (Chronos-canonical, Pass 50; the alternate chat names printed as T2-L variants, not harmonized). Command: Ra → Shu (promoted, theater commander) → Thoth (Lord of the Books) → Sekhmet/Sirius (field-regent, T2-L) → the 36. Sopdet keys the ring at Solar Rising; the year anchors to the heliacal rising of Sirius. Effect-texts = Negative/martial register; effects-content and live-decade computation remain Sphere-of-Iah / Strike Window territory; the competitive-ops overlay is private and print-excluded.",
path_meta,revelation,function,§3,"The higher pours in at a voltage the vessel can take — genuine revelation, invocation that lands. Provocation vector: operator strikes the Wheel via this path (Operating Doctrine §3).",
path_meta,dualcurrent,function,§3,Productive tension — oscillation that generates; two poles held apart so novelty sparks in the gap. Delivery mechanism: carries provoked charge to Het-Heru or Heru-Behudet poles (§3).,
path_meta,coiledpower,function,§3,"Teaching lands and transfers — right training, discipline forming habit, repeated windings magnetizing the core. Transformer: both fortunate and unfortunate outcomes become gain (§3).",
path_meta,fate,function,§5,The Hand of Atum closing on destiny — creation seized rather than awaited; agency over fate. Optative provocation vector (§5).,
kau_seat,1,tier,T3,G/T3,
kau_seat,2,tier,T3,G/T3,
kau_seat,3,tier,T3,G/T3,
kau_seat,4,tier,T3,G/T3,
kau_seat,5,tier,T3,G/T3,
kau_seat,6,tier,T3,G/T3,
kau_seat,7,tier,T3,G/T3,
kau_seat,8,tier,T3,G/T3,
kau_seat,9,tier,T2,T2+G,
kau_seat,10,tier,T3,G/T3,
kau_seat,11,tier,T3,G/T3→T1,
kau_seat,11,tier,T1,G/T3→T1,
kau_seat,12,tier,T3,G/T3,
kau_seat,13,tier,T3,G/T3,
star_anchor,2,starTier,T2,T2,
star_anchor,2,powerTier,T2-L,T2-L,
star_anchor,2,planetsTier,T3,T3,
star_anchor,2,label,Pass 36,"Tiphereth (Master v2, Pass 36)",
star_anchor,3,starTier,T2,T2,
star_anchor,3,powerTier,T2-L,T2-L,
star_anchor,3,planetsTier,T3,T3,
star_anchor,4,starTier,T3,T3,
star_anchor,4,powerTier,T2-L,T2-L,
star_anchor,4,planetsTier,T3,T3,
star_anchor,9,starTier,T3,T3,
star_anchor,9,powerTier,T2-L,T2-L,
star_anchor,9,planetsTier,T3,T3,
star_anchor,32,powerTier,T2-L,T2-L,
star_anchor,32,flags,Pass-50,NAME CONFLICT — register names this cell an Arm of Sah; Pass-50 canonical name is KENEMU SOPDET. Unresolved; both shown.,
star_anchor,33,powerTier,T2-L,T2-L,
star_anchor,33,flags,Pass-50,NAME CONFLICT — register names this cell an Arm of Sah; Pass-50 canonical name is SESHEMU SOPDET. Unresolved; both shown.,
star_anchor,34,starTier,T1,T1 region / T3 star,
star_anchor,34,starTier,T3,T1 region / T3 star,
star_anchor,34,powerTier,T2-L,T2-L,
star_anchor,34,planetsTier,T3,T3,
star_anchor,34,flags,Pass-50,NAME CONFLICT â register names this cell sꜣḥ (Sah); Pass-50 canonical name is APED SOPDET. Unresolved; both shown.,
star_anchor,35,starTier,T2,T2 — double-confirmed,
star_anchor,35,powerTier,T2-L,T2-L,
star_anchor,35,planetsTier,T3,T3,
star_anchor,35,label,T3,"Herald of Solar Rising â outrider position (T3, owned; name-derived: “Foremost of Sopdet” = the star that announces Sirius's rising)",
star_anchor,36,starTier,T1,T1,
star_anchor,36,powerTier,T2-L,T2-L,
star_anchor,36,planetsTier,T3,T3,
decan_note,37,note,T3,"THE FIVE EPAGOMENAL DAYS — ruled by GEB (canon); planetary-nature Mercury·Jupiter (T3). Head of the ḫatyw & shmayw; makes an open road for the justified. MAX-DANGER: plan, don't act.",
timing,timing,function,§3,"The higher pours in at a voltage the vessel can take — genuine revelation, invocation that lands. Provocation vector: operator strikes the Wheel via this path (Operating Doctrine §3).",
timing,timing,function,§3,Productive tension — oscillation that generates; two poles held apart so novelty sparks in the gap. Delivery mechanism: carries provoked charge to Het-Heru or Heru-Behudet poles (§3).,
timing,timing,function,§3,"Teaching lands and transfers — right training, discipline forming habit, repeated windings magnetizing the core. Transformer: both fortunate and unfortunate outcomes become gain (§3).",
timing,timing,function,§5,The Hand of Atum closing on destiny — creation seized rather than awaited; agency over fate. Optative provocation vector (§5).,
timing,timing,tier,T3,G/T3,
timing,timing,tier,T2,T2+G,
timing,timing,tier,T3,G/T3→T1,
timing,timing,tier,T1,G/T3→T1,
timing,location_default,tier,T3,"T3 (anchor ruling, Pass v4)",
timing,timing,tier,T2,T2 (received electional convention),
timing,timing,tier,T2-L,T2-L,
timing,timing,day_tier,T3,T3 (planet pair is owned construction; day cycle T2),
timing,timing,day_tier,T2,T3 (planet pair is owned construction; day cycle T2),
timing,timing,figure_tier,T3,"T3 (owned mapping, rule-derived — see §3.2)",
timing,timing,figure_tier,§3,"T3 (owned mapping, rule-derived — see §3.2)",
panel,inspector,template,T1,"<div class=""eyebrow"">${dc.n===37?'The days outside the year':'Decade '+dc.n+' of 36'}</div> <h2>${dc.name||'(name awaiting von Bomhard)'}</h2> <h3 class=""route"">${dc.dates}</h3> ${anchorHtml} ${dc.note?field('Note','<span class=""note"">'+dc.note+'</span>'):''} ${timingHtml} <div class=""prov"">T1: the Naos (von Bomhard 2008) · Chronos warfare module + associate verification (T2-L) · ring arrangement T3, owned. Decan effects = Negative/martial register.</div>",
panel,inspector,template,T2-L,"<div class=""eyebrow"">${dc.n===37?'The days outside the year':'Decade '+dc.n+' of 36'}</div> <h2>${dc.name||'(name awaiting von Bomhard)'}</h2> <h3 class=""route"">${dc.dates}</h3> ${anchorHtml} ${dc.note?field('Note','<span class=""note"">'+dc.note+'</span>'):''} ${timingHtml} <div class=""prov"">T1: the Naos (von Bomhard 2008) · Chronos warfare module + associate verification (T2-L) · ring arrangement T3, owned. Decan effects = Negative/martial register.</div>",
panel,inspector,template,T3,"<div class=""eyebrow"">${dc.n===37?'The days outside the year':'Decade '+dc.n+' of 36'}</div> <h2>${dc.name||'(name awaiting von Bomhard)'}</h2> <h3 class=""route"">${dc.dates}</h3> ${anchorHtml} ${dc.note?field('Note','<span class=""note"">'+dc.note+'</span>'):''} ${timingHtml} <div class=""prov"">T1: the Naos (von Bomhard 2008) · Chronos warfare module + associate verification (T2-L) · ring arrangement T3, owned. Decan effects = Negative/martial register.</div>",
